
# Efinity Pinout Report
# Version: 2019.3.272
# Date: 2020-02-04 11:33

# Copyright (C) 2017 - 2019 Efinix Inc. All rights reserved.

# Device: T120F484
# Package status: preliminary
# Project: DdrControllerDebug
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Standard,Pull Type,Function
C2,GPIOT_TXN02,,,2A,3.3 V LVTTL / LVCMOS,,User IO
C4,GPIOT_TXN03,,,2A,3.3 V LVTTL / LVCMOS,,User IO
B1,GPIOT_TXN04,,,2A,3.3 V LVTTL / LVCMOS,,User IO
B2,GPIOT_TXN05,,,2A,3.3 V LVTTL / LVCMOS,,User IO
A3,GPIOT_TXN06,,,2A,3.3 V LVTTL / LVCMOS,,User IO
B5,GPIOT_TXN07,,,2A,3.3 V LVTTL / LVCMOS,,User IO
C7,GPIOT_TXN10,,,2B,3.3 V LVTTL / LVCMOS,,User IO
E6,GPIOT_TXN11,,,2B,3.3 V LVTTL / LVCMOS,,User IO
B6,GPIOT_TXN12,,,2B,3.3 V LVTTL / LVCMOS,,User IO
F7,GPIOT_TXN13,,,2B,3.3 V LVTTL / LVCMOS,,User IO
B7,GPIOT_TXN14,,,2B,3.3 V LVTTL / LVCMOS,,User IO
H7,GPIOT_TXN15,,,2B,3.3 V LVTTL / LVCMOS,,User IO
F8,GPIOT_TXN16,,,2B,3.3 V LVTTL / LVCMOS,,User IO
A8,GPIOT_TXN18,,,2B,3.3 V LVTTL / LVCMOS,,User IO
G8,GPIOT_TXN20,,,2C,3.3 V LVTTL / LVCMOS,,User IO
D9,GPIOT_TXN21,,,2C,3.3 V LVTTL / LVCMOS,,User IO
H9,GPIOT_TXN22,,,2C,3.3 V LVTTL / LVCMOS,,User IO
B9,GPIOT_TXN23,,,2C,3.3 V LVTTL / LVCMOS,,User IO
E10,GPIOT_TXN24,,,2C,3.3 V LVTTL / LVCMOS,,User IO
B10,GPIOT_TXN25,,,2C,3.3 V LVTTL / LVCMOS,,User IO
G10,GPIOT_TXN26,,,2C,3.3 V LVTTL / LVCMOS,,User IO
D1,GPIOT_TXP01,,,2A,3.3 V LVTTL / LVCMOS,,User IO
D2,GPIOT_TXP02,,,2A,3.3 V LVTTL / LVCMOS,,User IO
C3,GPIOT_TXP03,,,2A,3.3 V LVTTL / LVCMOS,,User IO
C1,GPIOT_TXP04,,,2A,3.3 V LVTTL / LVCMOS,,User IO
A2,GPIOT_TXP05,,,2A,3.3 V LVTTL / LVCMOS,,User IO
A4,GPIOT_TXP06,,,2A,3.3 V LVTTL / LVCMOS,,User IO
A5,GPIOT_TXP07,,,2A,3.3 V LVTTL / LVCMOS,,User IO
C6,GPIOT_TXP10,,,2B,3.3 V LVTTL / LVCMOS,,User IO
F6,GPIOT_TXP11,,,2B,3.3 V LVTTL / LVCMOS,,User IO
A6,GPIOT_TXP12,,,2B,3.3 V LVTTL / LVCMOS,,User IO
E7,GPIOT_TXP13,,,2B,3.3 V LVTTL / LVCMOS,,User IO
A7,GPIOT_TXP14,,,2B,3.3 V LVTTL / LVCMOS,,User IO
G7,GPIOT_TXP15,,,2B,3.3 V LVTTL / LVCMOS,,User IO
E8,GPIOT_TXP16,,,2B,3.3 V LVTTL / LVCMOS,,User IO
B8,GPIOT_TXP18,,,2B,3.3 V LVTTL / LVCMOS,,User IO
H8,GPIOT_TXP20,,,2C,3.3 V LVTTL / LVCMOS,,User IO
E9,GPIOT_TXP21,,,2C,3.3 V LVTTL / LVCMOS,,User IO
G9,GPIOT_TXP22,,,2C,3.3 V LVTTL / LVCMOS,,User IO
A9,GPIOT_TXP23,,,2C,3.3 V LVTTL / LVCMOS,,User IO
D10,GPIOT_TXP24,,,2C,3.3 V LVTTL / LVCMOS,,User IO
A10,GPIOT_TXP25,,,2C,3.3 V LVTTL / LVCMOS,,User IO
F10,GPIOT_TXP26,,,2C,3.3 V LVTTL / LVCMOS,,User IO
C5,REF_RES_2A,,Input,2A,3.3 V LVTTL / LVCMOS,,
D8,REF_RES_2B,,Input,2B,3.3 V LVTTL / LVCMOS,,
C10,REF_RES_2C,,Input,2C,3.3 V LVTTL / LVCMOS,,
Y10,REF_RES_4D,,Input,4D,3.3 V LVTTL / LVCMOS,,
W6,REF_RES_4E,,Input,4E,3.3 V LVTTL / LVCMOS,,
AA3,REF_RES_4F,,Input,4F,3.3 V LVTTL / LVCMOS,,
T1,TCK,,Input,1A,3.3 V LVTTL / LVCMOS,,Configuration
U2,TDI,,Input,1A,3.3 V LVTTL / LVCMOS,,Configuration
T3,TDO,,Output,1A,3.3 V LVTTL / LVCMOS,,Configuration
U1,TMS,,Input,1A,3.3 V LVTTL / LVCMOS,,Configuration
H10,VCC,,Power,,,,1.2 V VCC Power
J9,VCC,,Power,,,,1.2 V VCC Power
J11,VCC,,Power,,,,1.2 V VCC Power
J13,VCC,,Power,,,,1.2 V VCC Power
J15,VCC,,Power,,,,1.2 V VCC Power
K10,VCC,,Power,,,,1.2 V VCC Power
K12,VCC,,Power,,,,1.2 V VCC Power
K14,VCC,,Power,,,,1.2 V VCC Power
L9,VCC,,Power,,,,1.2 V VCC Power
L11,VCC,,Power,,,,1.2 V VCC Power
L13,VCC,,Power,,,,1.2 V VCC Power
M8,VCC,,Power,,,,1.2 V VCC Power
M10,VCC,,Power,,,,1.2 V VCC Power
M12,VCC,,Power,,,,1.2 V VCC Power
M14,VCC,,Power,,,,1.2 V VCC Power
N9,VCC,,Power,,,,1.2 V VCC Power
N11,VCC,,Power,,,,1.2 V VCC Power
N13,VCC,,Power,,,,1.2 V VCC Power
P10,VCC,,Power,,,,1.2 V VCC Power
P12,VCC,,Power,,,,1.2 V VCC Power
P14,VCC,,Power,,,,1.2 V VCC Power
R11,VCC,,Power,,,,1.2 V VCC Power
W5,VCCA_BL,,Power,BL_CORNER,,,1.2 V PLL Power
N15,VCCA_BR,,Power,3D_TR_BR,3.3 V LVTTL / LVCMOS,,1.2 V PLL Power
P15,VCCA_BR,,Power,3D_TR_BR,3.3 V LVTTL / LVCMOS,,1.2 V PLL Power
D5,VCCA_TL,,Power,TL_CORNER,,,1.2 V PLL Power
D17,VCCA_TR,,Power,3D_TR_BR,3.3 V LVTTL / LVCMOS,,1.2 V PLL Power
E17,VCCA_TR,,Power,3D_TR_BR,3.3 V LVTTL / LVCMOS,,1.2 V PLL Power
U3,VCCIO1A,,Power,1A,3.3 V LVTTL / LVCMOS,,VCCIO Power
N3,VCCIO1B_1C,,Power,1B_1C,3.3 V LVTTL / LVCMOS,,VCCIO Power
N6,VCCIO1B_1C,,Power,1B_1C,3.3 V LVTTL / LVCMOS,,VCCIO Power
R5,VCCIO1B_1C,,Power,1B_1C,3.3 V LVTTL / LVCMOS,,VCCIO Power
J6,VCCIO1D_1E,,Power,1D_1E,3.3 V LVTTL / LVCMOS,,VCCIO Power
K3,VCCIO1D_1E,,Power,1D_1E,3.3 V LVTTL / LVCMOS,,VCCIO Power
F2,VCCIO1F_1G,,Power,1F_1G,3.3 V LVTTL / LVCMOS,,VCCIO Power
F3,VCCIO1F_1G,,Power,1F_1G,3.3 V LVTTL / LVCMOS,,VCCIO Power
B3,VCCIO2A,,Power,2A,3.3 V LVTTL / LVCMOS,,VCCIO Power
D3,VCCIO2A,,Power,2A,3.3 V LVTTL / LVCMOS,,VCCIO Power
C8,VCCIO2B,,Power,2B,3.3 V LVTTL / LVCMOS,,VCCIO Power
D6,VCCIO2B,,Power,2B,3.3 V LVTTL / LVCMOS,,VCCIO Power
C9,VCCIO2C,,Power,2C,3.3 V LVTTL / LVCMOS,,VCCIO Power
F9,VCCIO2C,,Power,2C,3.3 V LVTTL / LVCMOS,,VCCIO Power
D12,VCCIO2D,,Power,2D,3.3 V LVTTL / LVCMOS,,VCCIO Power
F11,VCCIO2D,,Power,2D,3.3 V LVTTL / LVCMOS,,VCCIO Power
C14,VCCIO2E,,Power,2E,3.3 V LVTTL / LVCMOS,,VCCIO Power
F14,VCCIO2E,,Power,2E,3.3 V LVTTL / LVCMOS,,VCCIO Power
C17,VCCIO2F,,Power,2F,3.3 V LVTTL / LVCMOS,,VCCIO Power
G16,VCCIO2F,,Power,2F,3.3 V LVTTL / LVCMOS,,VCCIO Power
B18,VCCIO3D_TR_BR,,Power,3D_TR_BR,3.3 V LVTTL / LVCMOS,,VCCIO Power
C20,VCCIO3D_TR_BR,,Power,3D_TR_BR,3.3 V LVTTL / LVCMOS,,VCCIO Power
U15,VCCIO4A,,Power,4A,3.3 V LVTTL / LVCMOS,,VCCIO Power
Y16,VCCIO4A,,Power,4A,3.3 V LVTTL / LVCMOS,,VCCIO Power
AA14,VCCIO4B,,Power,4B,3.3 V LVTTL / LVCMOS,,VCCIO Power
V13,VCCIO4B,,Power,4B,3.3 V LVTTL / LVCMOS,,VCCIO Power
T11,VCCIO4C,,Power,4C,3.3 V LVTTL / LVCMOS,,VCCIO Power
Y12,VCCIO4C,,Power,4C,3.3 V LVTTL / LVCMOS,,VCCIO Power
T9,VCCIO4D,,Power,4D,3.3 V LVTTL / LVCMOS,,VCCIO Power
Y9,VCCIO4D,,Power,4D,3.3 V LVTTL / LVCMOS,,VCCIO Power
R9,VCCIO4E,,Power,4E,3.3 V LVTTL / LVCMOS,,VCCIO Power
W7,VCCIO4E,,Power,4E,3.3 V LVTTL / LVCMOS,,VCCIO Power
AA4,VCCIO4F,,Power,4F,3.3 V LVTTL / LVCMOS,,VCCIO Power
Y3,VCCIO4F,,Power,4F,3.3 V LVTTL / LVCMOS,,VCCIO Power
AA17,VCCIO_DDR,,Power,3E,,,VCCIO Power
AA19,VCCIO_DDR,,Power,3E,,,VCCIO Power
AA21,VCCIO_DDR,,Power,3E,,,VCCIO Power
F19,VCCIO_DDR,,Power,3E,,,VCCIO Power
F21,VCCIO_DDR,,Power,3E,,,VCCIO Power
G18,VCCIO_DDR,,Power,3E,,,VCCIO Power
J17,VCCIO_DDR,,Power,3E,,,VCCIO Power
J19,VCCIO_DDR,,Power,3E,,,VCCIO Power
J21,VCCIO_DDR,,Power,3E,,,VCCIO Power
M17,VCCIO_DDR,,Power,3E,,,VCCIO Power
M19,VCCIO_DDR,,Power,3E,,,VCCIO Power
M21,VCCIO_DDR,,Power,3E,,,VCCIO Power
R17,VCCIO_DDR,,Power,3E,,,VCCIO Power
R19,VCCIO_DDR,,Power,3E,,,VCCIO Power
R21,VCCIO_DDR,,Power,3E,,,VCCIO Power
V17,VCCIO_DDR,,Power,3E,,,VCCIO Power
V19,VCCIO_DDR,,Power,3E,,,VCCIO Power
V21,VCCIO_DDR,,Power,3E,,,VCCIO Power
